Quarter,Compliance Rate,Source
Oct - Dec 2007,97.97,Dataset2
Jan - Mar 2008,98.29,Dataset2
Apr - Jun 2008,98.75,Dataset2
Jul - Sep 2008,98.85,Dataset2
Oct - Dec 2008,98.65,Dataset2
Jan - Mar 2009,98.7,Dataset2
Apr - Jun 2009,98.71,Dataset2
Jul - Sep 2009,99.05,Dataset2
Oct - Dec 2009,98.65,Dataset2
Jan - Mar 2010,98.61,Dataset2
Apr - Jun 2010,98.74,Dataset2
Jul - Sep 2010,98.93,Dataset2
Oct - Dec 2010,99.24,Dataset2
Jan - Mar 2011,98.87,Dataset2
Apr - Jun 2011,99.17,Dataset2
Jul - Sep 2011,98.95,Dataset2
Oct - Dec 2011,99.01,Dataset2
Jan - Mar 2012,98.95,Dataset2
Apr - Jun 2012,99.01,Dataset2
Jul - Sep 2012,98.97,Dataset2
Oct - Dec 2012,99.1,Dataset2
Jan - Mar 2013,99.01,Dataset2
Apr - Jun 2013,99.01,Dataset2
Jul - Sep 2013,98.89,Dataset2
Oct - Dec 2013,99.02,Dataset2
Jan - Mar 2014,98.92,Dataset2
Apr - Jun 2014,99.01,Dataset2
Jul - Sep 2014,99.0,Dataset2
Oct - Dec 2014,98.95,Dataset2
Jan - Mar 2015,98.96,Dataset2
Apr - Jun 2015,98.99,Dataset2
Jul - Sep 2015,99.02,Dataset2
Oct - Dec 2015,99.05,Dataset2
Jan - Mar 2016,99.09,Dataset2
Apr - Jun 2016,99.08,Dataset2
Jul - Sep 2016,99.02,Dataset2
Oct - Dec 2016,99.01,Dataset2
Jan - Mar 2017,99.09,Dataset2
Apr - Jun 2017,99.05,Dataset2
Jul - Sep 2017,98.96,Dataset2
Oct - Dec 2017,98.9,Dataset2
Jan - Mar 2018,98.9,Dataset2
Apr - Jun 2018,98.91,Dataset2
Jul - Sep 2018,99.0,Dataset2
Oct - Dec 2018,99.03,Dataset2
Jan - Mar 2019,99.05,Dataset2
Apr - Jun 2019,99.01,Dataset2
Jul - Sep 2019,99.02,Dataset2
Oct - Dec 2019,99.0,Dataset2
Jan - Mar 2020,99.02,Dataset2
Apr - Jun 2020,99.07,Dataset2
Jul - Sep 2020,99.0,Dataset2
Oct - Dec 2020,98.87,Dataset2
Jan - Mar 2021,99.0,Dataset2
Apr - Jun 2021,98.87,Dataset2
Jul - Sep 2021,98.9,Dataset2
Oct - Dec 2021,98.95,Dataset2
Jan - Mar 2022,99.02,Dataset2
Apr - Jun 2022,98.91,Dataset2
Jul - Sep 2022,99.0,Dataset2
Oct - Dec 2022,99.0,Dataset2
Jan - Mar 2023,99.01,Dataset2
Apr - Jun 2023,99.01,Dataset2
Jul - Sep 2023,98.9,Dataset2
Oct - Dec 2023,99.1,Dataset2
Jan - Mar 2024,98.8,Dataset2
