Road,Suburb,Effective_Date,Latitude,Longitude,Formatted_Address
Maroondah Highway,COLDSTREAM,1 October 2024,-37.7361713,145.3754307,"Maroondah Highway, Coldstream VIC 3770, Australia"
Maroondah Highway,COLDSTREAM,1 October 2024,-37.7361713,145.3754307,"Maroondah Highway, Coldstream VIC 3770, Australia"
Maroondah Highway,COLDSTREAM,1 October 2024,-37.7361713,145.3754307,"Maroondah Highway, Coldstream VIC 3770, Australia"
Pascoe Vale Road,COOLAROO,1 October 2024,-37.6619332,144.9227783,"Pascoe Vale Road, Coolaroo VIC 3048, Australia"
Purnell Road,CORIO,1 October 2024,-38.0742147,144.3588288,"Purnell Road, Corio VIC 3214, Australia"
Bacchus Marsh Road,CORIO,1 October 2024,-38.0810864,144.3585393,"Bacchus Marsh Road, Corio VIC 3214, Australia"
Bacchus Marsh Road,CORIO,1 October 2024,-38.0810864,144.3585393,"Bacchus Marsh Road, Corio VIC 3214, Australia"
Bacchus Marsh Road,CORIO,1 October 2024,-38.0810864,144.3585393,"Bacchus Marsh Road, Corio VIC 3214, Australia"
South Gippsland Highway,DANDENONG SOUTH,1 October 2024,-38.0140938,145.2319138,"South Gippsland Highway, Dandenong South VIC 3175, Australia"
Dingley Bypass,DINGLEY VILLAGE,1 October 2024,-37.9627119,145.1299848,"Dingley Bypass, Dingley Village VIC 3172, Australia"
Dingley Bypass,DINGLEY VILLAGE,1 October 2024,-37.9627119,145.1299848,"Dingley Bypass, Dingley Village VIC 3172, Australia"
Melba Highway,DIXONS CREEK,1 October 2024,-37.587823,145.412186,"Melba Highway, Dixons Creek VIC 3775, Australia"
Melba Highway,DIXONS CREEK,1 October 2024,-37.587823,145.412186,"Melba Highway, Dixons Creek VIC 3775, Australia"
Mornington Peninsula Freeway,DROMANA,1 October 2024,-38.3301515,144.988807,"Mornington Peninsula Freeway, Dromana VIC 3936, Australia"
Ryrie Street,EAST GEELONG,1 October 2024,-38.1565186,144.3848715,"Ryrie Street, East Geelong VIC 3219, Australia"
Nepean Highway,EDITHVALE,1 October 2024,-38.0391436,145.1088785,"Nepean Highway, Edithvale VIC 3196, Australia"
Nepean Highway,EDITHVALE,1 October 2024,-38.0391436,145.1088785,"Nepean Highway, Edithvale VIC 3196, Australia"
Dalton Road,EPPING,1 October 2024,-37.6429134,145.0307003,"Dalton Road, Epping VIC 3076, Australia"
Midland Highway,EPSOM,1 October 2024,-36.6815609,144.3207233,"Midland Highway, Huntly VIC 3551, Australia"
Bulla Road,ESSENDON NORTH,1 October 2024,-37.735892,144.9047476,"Bulla Road, Essendon North VIC 3041, Australia"
Moreland Street,FOOTSCRAY,1 October 2024,-37.8008503,144.9078213,"Moreland Street, Footscray VIC 3011, Australia"
Frankston-Dandenong Road,FRANKSTON NORTH,1 October 2024,-38.1239544,145.1408599,"Frankston-Dandenong Road, Frankston North VIC 3200, Australia"
Frankston-Flinders Road,FRANKSTON SOUTH,1 October 2024,-38.1593992,145.1350155,"Frankston-Flinders Road, Frankston VIC 3199, Australia"
Lincoln Causeway,GATEWAY ISLAND,1 October 2024,-36.0930655,146.9036281,"Lincoln Causeway, City of Wodonga VIC 3691, Australia"
Melton Road,GISBORNE,1 October 2024,-37.5250807,144.564467,"Melton Road, Gisborne VIC 3437, Australia"
High Street Road,GLEN WAVERLEY,1 October 2024,-37.8758335,145.1807562,"High Street Road, Glen Waverley VIC 3150, Australia"
Specimen Hill Road,GOLDEN SQUARE,1 October 2024,-36.76369,144.2475632,"Specimen Hill Road, Golden Square VIC 3555, Australia"
Oaklands Road,GREENVALE,1 October 2024,-37.6438022,144.8339722,"Oaklands Road, Greenvale VIC 3059, Australia"
Pound Road,HAMPTON PARK,1 October 2024,-38.0261971,145.2473164,"Pound Road, Hampton Park VIC 3976, Australia"
Warrigal Road,HEATHERTON,1 October 2024,-37.9449421,145.0783749,"Warrigal Road, Heatherton VIC 3202, Australia"
Colac Road,HIGHTON,1 October 2024,-38.1989536,144.3149068,"Colac Road, Highton VIC 3216, Australia"
Old Geelong Road,HOPPERS CROSSING,1 October 2024,-37.88021,144.7050447,"Old Geelong Road, Hoppers Crossing VIC 3029, Australia"
Derrimut Road,HOPPERS CROSSING,1 October 2024,-37.8793327,144.6826391,"Derrimut Road, Hoppers Crossing VIC 3029, Australia"
Heaths Road,HOPPERS CROSSING,1 October 2024,-37.879348,144.7013179,"Heaths Road, Hoppers Crossing VIC 3029, Australia"
Heaths Road,HOPPERS CROSSING,1 October 2024,-37.879348,144.7013179,"Heaths Road, Hoppers Crossing VIC 3029, Australia"
Heaths Road,HOPPERS CROSSING,1 October 2024,-37.879348,144.7013179,"Heaths Road, Hoppers Crossing VIC 3029, Australia"
Marong Road,IRONBARK,1 October 2024,-36.7560469,144.2631183,"Marong Road, Ironbark VIC 3550, Australia"
Calder Highway,IRYMPLE,1 October 2024,-34.2470289,142.1842824,"Calder Highway, Irymple VIC 3498, Australia"
Lower Heidelberg Road,IVANHOE EAST,1 October 2024,-37.770882,145.0626825,"Lower Heidelberg Road, Ivanhoe East VIC 3079, Australia"
High Street,KANGAROO FLAT,1 October 2024,-36.7882164,144.2453931,"High Street, Kangaroo Flat VIC 3555, Australia"
High Street,KANGAROO FLAT,1 October 2024,-36.7882164,144.2453931,"High Street, Kangaroo Flat VIC 3555, Australia"
Goulburn Valley Highway,KATAMATITE,1 October 2024,-36.0796109,145.6873855,"Katamatite VIC 3649, Australia"
Green Gully Road,KEILOR DOWNS,1 October 2024,-37.7275797,144.8206678,"Green Gully Road, Keilor Downs VIC 3038, Australia"
Calder Freeway,KEILOR NORTH,1 October 2024,-37.6810557,144.7788838,"Calder Freeway, Keilor North VIC 3036, Australia"
Keilor Park Drive,KEILOR PARK,1 October 2024,-37.7182308,144.8547732,"Keilor Park Drive, Keilor Park VIC 3042, Australia"
Earl Street,KEW,1 October 2024,-37.7956665,145.0370771,"Earl Street, Kew VIC 3101, Australia"
Riverview Drive,KIALLA,1 October 2024,-36.4029994,145.3685834,"Riverview Drive, Kialla VIC 3631, Australia"
Goulburn Valley Highway,KIALLA WEST,1 October 2024,-36.4503834,145.388822,"Goulburn Valley Highway, Kialla West VIC 3631, Australia"
Kilmore - Lancefield Road,KILMORE,1 October 2024,-37.3014268,144.8676054,"Kilmore - Lancefield Road, Kilmore VIC 3764, Australia"
Broadford-Kilmore Road,KILMORE,1 October 2024,-37.2424988,144.9877001,"Broadford-Kilmore Road, Kilmore VIC 3764, Australia"
Northern Highway,KILMORE,1 October 2024,-37.3500764,144.961155,"Northern Highway, Kilmore VIC 3764, Australia"
South Gippsland Highway,KOO WEE RUP,1 October 2024,-38.2112018,145.4318378,"South Gippsland Highway, Melbourne VIC 3981, Australia"
Gisborne-Melton Road,KURUNJANG,1 October 2024,-37.6633388,144.5997831,"Gisborne - Melton Road, Kurunjang VIC 3337, Australia"
Allan Street,KYABRAM,1 October 2024,-36.3135328,145.047217,"Allan Street, Kyabram VIC 3620, Australia"
Burton Avenue,KYNETON,1 October 2024,-37.2431775,144.4416519,"Burton Avenue, Kyneton VIC 3444, Australia"
Trentham Road,KYNETON,1 October 2024,-37.271931,144.4489969,"Trentham Road, Kyneton VIC 3444, Australia"
Trentham Road,KYNETON,1 October 2024,-37.271931,144.4489969,"Trentham Road, Kyneton VIC 3444, Australia"
Bass Highway,LANG LANG,1 October 2024,-38.2924962,145.545421,"Bass Highway, Melbourne VIC 3984, Australia"
Bass Highway,LANG LANG,1 October 2024,-38.2924962,145.545421,"Bass Highway, Melbourne VIC 3984, Australia"
Old Geelong Road,LAVERTON NORTH,1 October 2024,-37.8460515,144.7801923,"Old Geelong Road, Laverton North VIC 3026, Australia"
High Street,LEARMONTH,1 October 2024,-37.4244874,143.7195942,"High Street, Learmonth VIC 3352, Australia"
Bacchus Marsh Road,LITTLE RIVER,1 October 2024,-37.924738,144.3633079,"Bacchus Marsh Road, Little River VIC 3213, Australia"
Dandenong Road,MALVERN,1 October 2024,-37.8692629,145.0337295,"Dandenong Road, Malvern VIC 3144, Australia"
Calder Highway,MARONG,1 October 2024,-36.7086109,144.102714,"Calder Highway, Marong VIC 3515, Australia"
Kings Way,MELBOURNE,1 October 2024,-37.8205672,144.957568,"Kings Way, Melbourne VIC 3000, Australia"
Kings Way,MELBOURNE,1 October 2024,-37.8205672,144.957568,"Kings Way, Melbourne VIC 3000, Australia"
Lakeside Drive,MELBOURNE,1 October 2024,-37.6862275,144.9489923,"Lakeside Drive, Broadmeadows VIC 3047, Australia"
Airport Drive,MELBOURNE AIRPORT,1 October 2024,-37.705933,144.8680718,"Airport Drive, Melbourne Airport VIC 3045, Australia"
Centenary Avenue,MELTON,1 October 2024,-37.6758673,144.5939365,"Centenary Avenue, Melbourne VIC 3337, Australia"
Nepean Highway,MENTONE,1 October 2024,-37.982707,145.074905,"Nepean Highway, Mentone VIC 3194, Australia"
Seventh Street E,MILDURA,1 October 2024,-34.1951748,142.1789619,"Seventh Street East, Mildura VIC 3500, Australia"
Seventh Street,MILDURA,1 October 2024,-34.1765372,142.1560746,"Seventh Street, Mildura VIC 3500, Australia"
Ninth Street,MILDURA,1 October 2024,-34.195462,142.1697442,"Ninth Street, Mildura VIC 3500, Australia"
Eleventh Street,MILDURA,1 October 2024,-34.2053349,142.1762685,"Eleventh Street, Mildura VIC 3500, Australia"
Eighth Street,MILDURA,1 October 2024,-34.1792188,142.1557298,"Eighth Street, Mildura VIC 3500, Australia"
Fifteenth Street,MILDURA,1 October 2024,-34.2008731,142.1293417,"Fifteenth Street, Mildura VIC 3500, Australia"
Ontario Avenue,MILDURA,1 October 2024,-34.175143,142.1544985,"Ontario Avenue, Mildura VIC 3500, Australia"
Ranfurly Way,MILDURA,1 October 2024,-34.1754007,142.1156984,"Ranfurly Way, Mildura VIC 3500, Australia"
Plenty Road,MILL PARK,1 October 2024,-37.661814,145.072976,"Plenty Road, Mill Park VIC 3082, Australia"
Bungower Road,MOOROODUC,1 October 2024,-38.2330102,145.1244439,"Bungower Road, Moorooduc VIC 3933, Australia"
Bungower Road,MOOROODUC,1 October 2024,-38.2330102,145.1244439,"Bungower Road, Moorooduc VIC 3933, Australia"
Midland Highway,MOOROOPNA,1 October 2024,-36.4009545,145.3149159,"Midland Highway, Mooroopna VIC 3629, Australia"
Mclennan Street,MOOROOPNA,1 October 2024,-36.3964869,145.3476278,"McLennan Street, Mooroopna VIC 3629, Australia"
Moorooduc Highway,MOUNT ELIZA,1 October 2024,-38.2192722,145.1046261,"Moorooduc Highway, Mount Eliza VIC 3930, Australia"
Monbulk Road,MOUNT EVELYN,1 October 2024,-37.7899848,145.3879516,"Monbulk Road, Mount Evelyn VIC 3796, Australia"
Esplanade,MOUNT MARTHA,1 October 2024,-38.2889146,144.9895605,"Esplanade, Mount Martha VIC 3934, Australia"
Wanda Street,MULGRAVE,1 October 2024,-37.9238819,145.1664546,"Wanda Street, Mulgrave VIC 3170, Australia"
Myrtle Street,MYRTLEFORD,1 October 2024,-36.5570226,146.7181494,"Myrtle Street, Myrtleford VIC 3737, Australia"
Myrtle Street,MYRTLEFORD,1 October 2024,-36.5570226,146.7181494,"Myrtle Street, Myrtleford VIC 3737, Australia"
Princes Freeway,NAR NAR GOON,1 October 2024,-38.0698114,145.563688,"Princes Freeway, Melbourne VIC 3812, Australia"
Goulburn Valley Highway,NATHALIA,1 October 2024,-36.0578072,145.207485,"Nathalia VIC 3638, Australia"
Goulburn Valley Highway,NATHALIA,1 October 2024,-36.0578072,145.207485,"Nathalia VIC 3638, Australia"
Goulburn Valley Highway,NATHALIA,1 October 2024,-36.0578072,145.207485,"Nathalia VIC 3638, Australia"
Melbourne Road,NORTH GEELONG,1 October 2024,-38.1196545,144.3534116,"Melbourne Road, North Geelong VIC 3215, Australia"
Bowser Road,NORTH WANGARATTA,1 October 2024,-36.3404857,146.3389946,"Bowser Road, Wangaratta VIC 3677, Australia"
Goulburn Valley Highway,NUMURKAH,1 October 2024,-36.0883834,145.4318461,"Goulburn Valley Highway, Numurkah VIC 3636, Australia"
Goulburn Valley Highway,NUMURKAH,1 October 2024,-36.0883834,145.4318461,"Goulburn Valley Highway, Numurkah VIC 3636, Australia"
Goulburn Valley Highway,NUMURKAH,1 October 2024,-36.0883834,145.4318461,"Goulburn Valley Highway, Numurkah VIC 3636, Australia"
Goulburn Valley Highway,NUMURKAH,1 October 2024,-36.0883834,145.4318461,"Goulburn Valley Highway, Numurkah VIC 3636, Australia"
Princes Highway,OFFICER,1 October 2024,-38.0566248,145.3904044,"Princes Highway, Officer VIC 3809, Australia"
Snow Road,OXLEY,1 October 2024,-36.4407812,146.3675283,"Snow Road, Oxley VIC 3678, Australia"
Pakenham Road,PAKENHAM,1 October 2024,-38.0629649,145.4705757,"Pakenham Road, Pakenham VIC 3810, Australia"
Princes Highway,PAKENHAM,1 October 2024,-38.0657812,145.513508,"Princes Highway, Pakenham VIC 3810, Australia"
Princes Highway,PAKENHAM,1 October 2024,-38.0657812,145.513508,"Princes Highway, Pakenham VIC 3810, Australia"
Princes Highway,PAKENHAM,1 October 2024,-38.0657812,145.513508,"Princes Highway, Pakenham VIC 3810, Australia"
Princes Highway,PAKENHAM,1 October 2024,-38.0657812,145.513508,"Princes Highway, Pakenham VIC 3810, Australia"
Mornington Peninsula Freeway,PATTERSON LAKES,1 October 2024,-38.0596184,145.1473284,"Mornington Peninsula Freeway, Patterson Lakes VIC 3197, Australia"
Hamilton Street,PETERBOROUGH,1 October 2024,-32.972534,138.837053,"Peterborough (Peterborough), SA, Australia"
Point Cook Road,POINT COOK,1 October 2024,-37.903602,144.7531182,"Point Cook Road, Point Cook VIC 3030, Australia"
Point Cook Road,POINT COOK,1 October 2024,-37.903602,144.7531182,"Point Cook Road, Point Cook VIC 3030, Australia"
Great Ocean Road,PORT CAMPBELL,1 October 2024,-38.6151796,142.9174826,"Great Ocean Road, Port Campbell VIC 3269, Australia"
Great Ocean Road,PORT CAMPBELL,1 October 2024,-38.6151796,142.9174826,"Great Ocean Road, Port Campbell VIC 3269, Australia"
Todd Road,PORT MELBOURNE,1 October 2024,-37.8265016,144.9116646,"Todd Road, Port Melbourne VIC 3207, Australia"
Cook Street,PORT MELBOURNE,1 October 2024,-37.8319125,144.9135944,"Cook Street, Port Melbourne VIC 3207, Australia"
Webb Dock Drive,PORT MELBOURNE,1 October 2024,-37.8338514,144.9112946,"Webb Dock Drive, Port Melbourne VIC 3207, Australia"
Webb Dock Drive,PORT MELBOURNE,1 October 2024,-37.8338514,144.9112946,"Webb Dock Drive, Port Melbourne VIC 3207, Australia"
Fitzroy Avenue,RED CLIFFS,1 October 2024,-34.3012965,142.1944311,"Fitzroy Avenue, Red Cliffs VIC 3496, Australia"
Jacaranda Street,RED CLIFFS,1 October 2024,-34.3100515,142.186492,"Jacaranda Street, Red Cliffs VIC 3496, Australia"
Point Nepean Road,ROSEBUD,1 October 2024,-38.3516146,144.9201211,"Point Nepean Road, Rosebud VIC 3939, Australia"
Melbourne Road,RYE,1 October 2024,-38.3791289,144.8034342,"Melbourne Road, Rye VIC 3941, Australia"
Melbourne Road,RYE,1 October 2024,-38.3791289,144.8034342,"Melbourne Road, Rye VIC 3941, Australia"
Mccormicks Road,SANDHURST,1 October 2024,-38.0809481,145.2014444,"McCormicks Road, Sandhurst VIC 3977, Australia"
Mccormicks Road,SANDHURST,1 October 2024,-38.0809481,145.2014444,"McCormicks Road, Sandhurst VIC 3977, Australia"
Nepean Highway,SEAFORD,1 October 2024,-38.1214398,145.1248113,"Nepean Highway, Seaford VIC 3198, Australia"
Frankston-Dandenong Road,SEAFORD,1 October 2024,-38.1243782,145.1400061,"Frankston-Dandenong Road, Seaford VIC 3198, Australia"
Goulburn Valley Highway,SEYMOUR,1 October 2024,-37.0167702,145.1344473,"Goulburn Valley Highway, Seymour VIC 3660, Australia"
Goulburn Valley Highway,SEYMOUR,1 October 2024,-37.0167702,145.1344473,"Goulburn Valley Highway, Seymour VIC 3660, Australia"
Tallarook Street,SEYMOUR,1 October 2024,-37.0195655,145.1290928,"Tallarook Street, Seymour VIC 3660, Australia"
Anzac Avenue,SEYMOUR,1 October 2024,-37.0354526,145.1542112,"Anzac Avenue, Seymour VIC 3660, Australia"
Emily Street,SEYMOUR,1 October 2024,-37.0195103,145.1289441,"Emily Street, Seymour VIC 3660, Australia"
High Street,SEYMOUR,1 October 2024,-37.0198941,145.1324127,"High Street, Seymour VIC 3660, Australia"
Bungower Road,SOMERVILLE,1 October 2024,-38.238635,145.2160659,"Bungower Road, Somerville VIC 3912, Australia"
Frankston-Flinders Road,SOMERVILLE,1 October 2024,-38.2314326,145.1824618,"Frankston-Flinders Road, Somerville VIC 3912, Australia"
Hotham Road,SORRENTO,1 October 2024,-38.3364834,144.7415696,"Hotham Road, Sorrento VIC 3943, Australia"
Albert Road,SOUTH MELBOURNE,1 October 2024,-37.8383623,144.9641842,"Albert Road, South Melbourne VIC 3205, Australia"
Lakeside Drive,ST KILDA,1 October 2024,-37.8580062,144.9803779,"Lakeside Drive, St Kilda VIC 3182, Australia"
Lakeside Drive,ST KILDA,1 October 2024,-37.8580062,144.9803779,"Lakeside Drive, St Kilda VIC 3182, Australia"
Goulburn Valley Highway,STRATHMERTON,1 October 2024,-35.9255109,145.432489,"Goulburn Valley Highway, Shire of Moira VIC 3641, Australia"
Goulburn Valley Highway,STRATHMERTON,1 October 2024,-35.9255109,145.432489,"Goulburn Valley Highway, Shire of Moira VIC 3641, Australia"
Calder Park Drive,SYDENHAM,1 October 2024,-37.6937372,144.7570006,"Calder Park Drive, Sydenham VIC 3037, Australia"
Sayers Road,TARNEIT,1 October 2024,-37.8441465,144.646577,"Sayers Road, Tarneit VIC 3029, Australia"
Tarneit Road,TARNEIT,1 October 2024,-37.8172885,144.6754218,"Tarneit Road, Tarneit VIC 3029, Australia"
Tarneit Road,TARNEIT,1 October 2024,-37.8172885,144.6754218,"Tarneit Road, Tarneit VIC 3029, Australia"
Tarneit Road,TARNEIT,1 October 2024,-37.8172885,144.6754218,"Tarneit Road, Tarneit VIC 3029, Australia"
Tarneit Road,TARNEIT,1 October 2024,-37.8172885,144.6754218,"Tarneit Road, Tarneit VIC 3029, Australia"
Tarneit Road,TARNEIT,1 October 2024,-37.8172885,144.6754218,"Tarneit Road, Tarneit VIC 3029, Australia"
Melton Highway,TAYLORS LAKES,1 October 2024,-37.6981288,144.7853033,"Melton Highway, Taylors Lakes VIC 3038, Australia"
Sayers Road,TRUGANINA,1 October 2024,-37.8519383,144.7219442,"Sayers Road, Truganina VIC 3029, Australia"
Western Freeway,TRUGANINA,1 October 2024,-37.7452502,144.69979,"Western Freeway, Truganina VIC 3336, Australia"
Melrose Drive,TULLAMARINE,1 October 2024,-37.6932009,144.8745805,"Melrose Drive, Tullamarine VIC 3045, Australia"
