Road,Suburb,Latitude,Longitude,Formatted_Address
Wimmera Highway,APSLEY,-37.0036839,141.1645266,"Wimmera Highway, Edenhope VIC 3318, Australia"
Wimmera Highway,KOOREH,-36.6313537,143.3452442,"Wimmera Highway, Shire of Northern Grampians VIC 3477, Australia"
Wimmera Highway,MOOLERR,-36.630074,143.227398,"Wimmera Highway, St Arnaud VIC 3478, Australia"
Wimmera Highway,ST ARNAUD,-36.6203052,143.2883706,"Wimmera Highway, St Arnaud VIC 3478, Australia"
Wimmera Highway,HORSHAM,-36.7258106,142.1684058,"Wimmera Highway, Horsham VIC 3400, Australia"
Wimmera Highway,KARNAK,-36.8534805,141.49537937285535,"Karnak, Shire of West Wimmera, VIC, Australia"
Wimmera Highway,QUANTONG,-36.739195,142.0833985,"Wimmera Highway, Rural City of Horsham VIC 3401, Australia"
Windsor Avenue,SPRINGVALE,-37.9518489,145.1516388,"Windsor Avenue, Springvale VIC 3171, Australia"
Winmalee Road,BALWYN,-37.8085021,145.0983095,"Winmalee Road, Balwyn VIC 3103, Australia"
Winton-Glenrowan Road,WINTON NORTH,-36.5170837,146.0722452,"Winton - Glenrowan Road, Rural City of Benalla VIC 3673, Australia"
Withers Lane,MANSFIELD,-37.042486,146.073415,"Withers Lane, Great Bear Log Homes VIC 3722, Australia"
Witt Street,BENALLA,-36.5362125,145.999964,"Witt Street, Benalla VIC 3672, Australia"
Wodonga-Yackandandah Road,BARANDUDA,-36.1844527,146.9537419,"Wodonga-Yackandandah Road, Baranduda VIC 3691, Australia"
Wodonga-Yackandandah Road,STAGHORN FLAT,-36.2265099,146.9507746,"Wodonga-Yackandandah Road, City of Wodonga VIC 3691, Australia"
Wollaston Road,WARRNAMBOOL,-38.3631794,142.4917627,"Wollaston Road, Warrnambool VIC 3280, Australia"
Wood Street,FLINDERS,-38.4743308,145.0188527,"Wood Street, Melbourne VIC 3929, Australia"
Wood Street,PRESTON,-37.7364255,145.03193,"Wood Street, Preston VIC 3072, Australia"
Woodbine Road,CRANBOURNE NORTH,-38.0823685,145.279043,"Woodbine Road, Cranbourne North VIC 3977, Australia"
Woodend-Tylden Road,TYLDEN,-37.3544,144.527,"Woodend, Forest Street, Woodend VIC 3442, Australia"
Woodland Street,ESSENDON,-37.7435771,144.9290647,"Woodland Street, Essendon VIC 3040, Australia"
Woodland Street,STRATHMORE,-37.742652,144.9209675,"Woodland Street, Strathmore VIC 3041, Australia"
Woods Point Road,EAST WARBURTON,-37.7231973,145.7811615,"Woods Point Road, Melbourne VIC 3799, Australia"
Woods Point Road,MCMAHONS CREEK,-37.7007385,145.8311942,"Woods Point Road, Melbourne VIC 3799, Australia"
Woods Street,BEACONSFIELD,-38.0458044,145.3674919,"Woods Street, Beaconsfield VIC 3807, Australia"
Wooralla Drive,MOUNT ELIZA,-38.2082037,145.0915531,"Wooralla Drive, Mount Eliza VIC 3930, Australia"
Woori Yallock Road,COCKATOO,-37.9161512,145.5006136,"Woori Yallock Road, Cockatoo VIC 3781, Australia"
Woori Yallock Road,NANGANA,-37.9043436,145.5071396,"Woori Yallock Road, Cockatoo VIC 3781, Australia"
Woorinen Road,SWAN HILL,-35.3189413,143.5128816,"Woorinen Road, Swan Hill VIC 3585, Australia"
Woorinen-Vinifera Road,WOORINEN NORTH,-35.231242,143.4096762,"Woorinen-Vinifera Road, Rural City of Swan Hill VIC 3589, Australia"
Woorinen-Vinifera Road,WOORINEN SOUTH,-35.272125,143.4361173,"Woorinen-Vinifera Road, Woorinen South VIC 3588, Australia"
Worsley Road,BANGHOLME,-38.0367892,145.187491,"Worsley Road, Bangholme VIC 3175, Australia"
Wright Street,SUNSHINE,-37.7950515,144.8229628,"Wright Street, Sunshine VIC 3020, Australia"
Wright Street,SUNSHINE WEST,-37.7948014,144.821785,"Wright Street, Sunshine West VIC 3020, Australia"
Wungan Street,MACLEOD,-37.7232331,145.0688228,"Wungan Street, Macleod VIC 3085, Australia"
Wurundjeri Way,DOCKLANDS,-37.8241648,144.9482854,"Wurundjeri Way, Docklands VIC 3008, Australia"
Yallambie Road,YALLAMBIE,-37.7218743,145.102298,"Yallambie Road, Yallambie VIC 3085, Australia"
Yankee Flat Road,WARRENHEIP,-37.6020129,143.9127329,"Yankee Flat Road, Shire of Moorabool VIC 3352, Australia"
Yarra Boulevard,KEW,-37.8062892,145.0091493,"Yarra Boulevard, Kew VIC 3101, Australia"
Yarra Boulevard,RICHMOND,-37.8233387,145.0144058,"Yarra Boulevard, Richmond VIC 3121, Australia"
Yarra Glen Bypass,YARRA GLEN,-37.6574655,145.3941386,"Yarra Glen Bypass, Melbourne VIC 3775, Australia"
Yarra Road,WONGA PARK,-37.7511101,145.2714333,"Yarra Road, Wonga Park VIC 3115, Australia"
Yarrawonga Wangaratta Road,PEECHELBA,-36.1647235,146.2129829,"Peechelba Beef, Wangaratta - Yarrawonga Road, slaughterhouse VIC 3678, Australia"
York Street,BALLARAT EAST,-37.5696875,143.8851974,"York Street, Ballarat East VIC 3350, Australia"
Yuille Street,MELTON,-37.6771707,144.5949326,"Yuille Street, Melbourne VIC 3337, Australia"
Abey Road,COBBLEBANK,-37.7062233,144.6013993,"Abey Road, Cobblebank VIC 3338, Australia"
Acacia Street,GLENROY,-37.7082556,144.9253071,"Acacia Street, Glenroy VIC 3046, Australia"
Adam Street,GOLDEN SQUARE,-36.7806247,144.2702994,"Adam Street, Golden Square VIC 3555, Australia"
Agar Road,CORONET BAY,-38.4302388,145.4477453,"Agar Road, Coronet Bay VIC 3984, Australia"
Airport Drive,MELBOURNE AIRPORT,-37.705933,144.8680718,"Airport Drive, Melbourne Airport VIC 3045, Australia"
Aitken Boulevard,ROXBURGH PARK,-37.6258153,144.9255725,"Roxburgh Park, Melbourne, VIC, Australia"
Aitken Boulevard,CRAIGIEBURN,-37.6091653,144.9121452,"Aitken Boulevard, Craigieburn VIC 3064, Australia"
Aitken Street,ALEXANDRA,-37.191631,145.7104,"Alexandra (Alexandra), VIC, Australia"
Albert Road,WARRAGUL,-38.1622586,145.9468124,"Albert Road, Warragul VIC 3820, Australia"
Albert Road,SOUTH MELBOURNE,-37.8383623,144.9641842,"Albert Road, South Melbourne VIC 3205, Australia"
Albert Street,EAST MELBOURNE,-37.8081948,144.9994171,"Albert Street, Abbotsford VIC 3067, Australia"
Albion Street,BRUNSWICK WEST,-37.7585239,144.9436865,"Albion Street, Brunswick West VIC 3055, Australia"
Alexanders Road,MORWELL,-38.2038896,146.4468879,"Alexanders Road, Morwell VIC 3840, Australia"
Alexandra Street,GREENSBOROUGH,-37.7068463,145.1085119,"Alexandra Street, Greensborough VIC 3088, Australia"
Alfred Street,HEIDELBERG HEIGHTS,-37.7493323,145.0530703,"Alfred Street, Heidelberg Heights VIC 3081, Australia"
Allan Street,KYABRAM,-36.3135328,145.047217,"Allan Street, Kyabram VIC 3620, Australia"
Allenby Avenue,RESERVOIR,-37.7005732,145.0040989,"Allenby Avenue, Reservoir VIC 3073, Australia"
Allies Road,MYERS FLAT,-36.7078316,144.2175857,"Allies Road, Bendigo VIC 3556, Australia"
Allingham Street,KANGAROO FLAT,-36.792658,144.2501783,"Allingham Street, Kangaroo Flat VIC 3555, Australia"
Alma Street,TOOTGAROOK,-38.376947,144.8476611,"Alma Street, Tootgarook VIC 3941, Australia"
Ambrose Treacy Drive,BUNDOORA,-37.6883459,145.0664444,"Ambrose Treacy Drive, Bundoora VIC 3083, Australia"
Anakie Road,BELL PARK,-38.0986597,144.3339224,"Anakie Road, Bell Park VIC 3215, Australia"
Anderson Road,SUNSHINE,-37.7878837,144.8269059,"Anderson Road, Sunshine VIC 3020, Australia"
Anderson Road,FAWKNER,-37.6960757,144.971131,"Anderson Road, Fawkner VIC 3060, Australia"
Anderson Street,MELBOURNE,-37.8050093,144.9420293,"Anderson Street, West Melbourne VIC 3003, Australia"
Andersons Creek Road,DONCASTER EAST,-37.7772721,145.1651195,"Andersons Creek Road, Doncaster East VIC 3109, Australia"
Anzac Avenue,SEYMOUR,-37.0354526,145.1542112,"Anzac Avenue, Seymour VIC 3660, Australia"
Anzac Parade,BANDIANA,-36.1393273,146.9128091,"Anzac Parade, Wodonga VIC 3690, Australia"
Anzac Road,TRAFALGAR,-38.2076125,146.1577232,"Anzac Road, Trafalgar VIC 3824, Australia"
Apollo Road,TAYLORS LAKES,-37.7085206,144.8034623,"Apollo Road, Taylors Lakes VIC 3038, Australia"
Ararat-Halls Gap Road,POMONAL,-37.2142949,142.6370075,"Ararat - Halls Gap Road, Pomonal VIC, Australia"
Ararat-Halls Gap Road,JALLUKAR,-37.156887,142.578369,"Ararat-Halls Gap Road, Halls Gap VIC 3381, Australia"
Ararat-Halls Gap Road,MOYSTON,-37.2975665,142.8265334,"Ararat - Halls Gap Road, Moyston VIC 3377, Australia"
Arcadia Avenue,THE BASIN,-37.8569997,145.3049379,"Arcadia Avenue, The Basin VIC 3154, Australia"
Army Road,PAKENHAM,-38.0678156,145.4967024,"Army Road, Pakenham VIC 3810, Australia"
Army Road,PAKENHAM UPPER,-38.0441926,145.5015735,"Army Road, Pakenham VIC 3810, Australia"
Arnot Street,BONNIE DOON,-37.0238479,145.8562401,"Arnot Street, Bonnie Doon VIC 3720, Australia"
Arthur Street,ST ALBANS,-37.7329292,144.8067704,"Arthur Street, St Albans VIC 3021, Australia"
Arthurs Creek Road,ARTHURS CREEK,-37.5817697,145.2060521,"Arthurs Creek Road, Melbourne VIC 3099, Australia"
Arthurs Creek Road,YAN YEAN,-37.5724783,145.1438878,"Arthurs Creek Road, Yan Yean VIC 3975, Australia"
Arthurs Seat Road,RED HILL,-38.3774495,145.0263071,"Arthurs Seat Road, Melbourne VIC 3937, Australia"
Arundel Road,KEILOR,-37.6996064,144.8365545,"Arundel Road, Keilor VIC 3036, Australia"
Ascot Vale Road,ASCOT VALE,-37.7728024,144.9238857,"Ascot Vale Road, Ascot Vale VIC 3032, Australia"
Atherton Road,OAKLEIGH,-37.8990107,145.0921765,"Atherton Road, Oakleigh VIC 3166, Australia"
Atkins Road,PAKENHAM,-38.0698851,145.4879522,"Atkins Road, Pakenham VIC 3810, Australia"
Auburn Road,HAWTHORN,-37.8448183,145.0408637,"Auburn Road, Hawthorn VIC 3122, Australia"
Aughtie Drive,ALBERT PARK,-37.8420508,144.9625609,"Aughtie Drive, Albert Park VIC 3206, Australia"
Avenel Road,SEYMOUR,-37.003588,145.1560658,"Avenel Road, Seymour VIC 3660, Australia"
Avenel-Nagambie Rd,AVENEL,-36.8690093,145.1691356,"Avenel - Nagambie Road, Shire of Strathbogie VIC 3664, Australia"
Avenel-Nagambie Road,AVENEL,-36.8690093,145.1691356,"Avenel - Nagambie Road, Shire of Strathbogie VIC 3664, Australia"
Avenue of Honour,WOODEND NORTH,-37.3189853,144.527395,"Avenue of Honour, Shire of Macedon Ranges VIC 3442, Australia"
Averys Road,EAGLEHAWK,-36.7117177,144.264421,"Averys Road, Eaglehawk VIC 3556, Australia"
Avondale Avenue,ST ALBANS,-37.7422795,144.8151503,"Avondale Avenue, St Albans VIC 3021, Australia"
Axe Creek Road,AXE CREEK,-36.8718881,144.3822678,"Axe Creek Road, Sedgwick VIC 3551, Australia"
Bacchus Marsh Road,LITTLE RIVER,-37.924738,144.3633079,"Bacchus Marsh Road, Little River VIC 3213, Australia"
Bacchus Marsh Road,CORIO,-38.0810864,144.3585393,"Bacchus Marsh Road, Corio VIC 3214, Australia"
Back Beach Road,VENTNOR,-38.4966093,145.1820547,"Back Beach Road, Ventnor VIC 3922, Australia"
Back Eildon Road,THORNTON,-37.2531084,145.797182,"Back Eildon Road, Thornton VIC 3712, Australia"
Back Porepunkah Road,POREPUNKAH,-36.7034168,146.9248358,"Back Porepunkah Road, Porepunkah VIC 3740, Australia"
Bakers Road,NOBLE PARK NORTH,-37.9491051,145.1971536,"Bakers Road, Noble Park North VIC 3174, Australia"
Balcombe Road,BEAUMARIS,-37.9789246,145.0455491,"Balcombe Road, Beaumaris VIC 3193, Australia"
Balcombe Road,MENTONE,-37.9818859,145.0700692,"Balcombe Road, Mentone VIC 3194, Australia"
Ballan Road,BATESFORD,-38.0967656,144.305039,"Ballan Road, Batesford VIC 3213, Australia"
Ballan Road,WYNDHAM VALE,-37.8857278,144.6253551,"Ballan Road, Wyndham Vale VIC 3024, Australia"
Ballan-Daylesford Road,BUNDING,-37.4200408,144.1162176,"Ballan-Daylesford Road, Shire of Hepburn VIC 3461, Australia"
Ballan-Daylesford Road,KORWEINGUBOORA,-37.4583472,144.1397996,"Ballan-Daylesford Road, Korweinguboora VIC 3461, Australia"
Ballarat Road,MAIDSTONE,-37.7885221,144.8828896,"Ballarat Road, Maidstone VIC 3012, Australia"
Ballarat Road,DEER PARK,-37.769499,144.771389,"Ballarat Road, Deer Park VIC 3023, Australia"
Ballarat Road,RAVENHALL,-37.7629484,144.7552584,"Ballarat Road, Ravenhall VIC 3023, Australia"
Ballarat Road,FOOTSCRAY,-37.7954107,144.9097934,"Ballarat Road, Footscray VIC 3011, Australia"
Ballarat Road,HAMILTON,-37.7433872,142.0242865,"Hamilton VIC 3300, Australia"
Ballarat-Maryborough Road,DAISY HILL,-37.1145056,143.7190175,"Ballarat-Maryborough Road, Daisy Hill VIC 3465, Australia"
Ballarto Road,SKYE,-38.1175212,145.1968423,"Ballarto Road, Skye VIC 3977, Australia"
Ballarto Road,CARRUM DOWNS,-38.1151327,145.1787101,"Ballarto Road, Carrum Downs VIC 3201, Australia"
Balwyn Road,BALWYN,-37.812542,145.0814011,"Balwyn Road, Balwyn VIC 3103, Australia"
Bambra Road,CAULFIELD SOUTH,-37.8924281,145.0279062,"Bambra Road, Caulfield South VIC 3162, Australia"
Banbury Road,RESERVOIR,-37.7105763,144.9897066,"Banbury Road, Reservoir VIC 3073, Australia"
Bandiana Link,WODONGA,-36.1103367,146.8937505,"Bandiana Link Road, Wodonga VIC 3690, Australia"
Bandiana Link Road,WODONGA,-36.1103367,146.8937505,"Bandiana Link Road, Wodonga VIC 3690, Australia"
Bank Street,AVENEL,-36.8889812,145.2244033,"Bank Street, Avenel VIC 3664, Australia"
Banksia Street,HEIDELBERG HEIGHTS,-37.760191,145.0735689,"Banksia Street, Heidelberg VIC 3084, Australia"
Banksia Street,IVANHOE,-37.7571945,145.0460768,"Banksia Street, Ivanhoe VIC 3079, Australia"
Bannons Lane,YARRAMBAT,-37.6257859,145.1352408,"Bannons Lane, Yarrambat VIC 3091, Australia"
Banyule Road,VIEWBANK,-37.7443482,145.0888937,"Banyule Road, Viewbank VIC 3084, Australia"
Baranduda Boulevard,LENEVA,-36.1691053,146.9098433,"Baranduda Boulevard, City of Wodonga VIC 3691, Australia"
Baranduda Boulevard,BARANDUDA,-36.1794883,146.9451375,"Baranduda Boulevard, Baranduda VIC 3691, Australia"
Barkers Road,HAWTHORN EAST,-37.8159775,145.0476393,"Barkers Road, Hawthorn East VIC 3123, Australia"
Barkers Road,KEW,-37.8137243,145.0285755,"Barkers Road, Kew VIC 3101, Australia"
Barkly Street,WEST FOOTSCRAY,-37.7976822,144.8798183,"Barkly Street, West Footscray VIC 3012, Australia"
Barkly Street West,ARARAT,-37.284545,142.934419,"Ararat (Ararat), VIC, Australia"
Barmah-Shepparton Road,BUNBARTHA,-36.1760606,145.3091705,"Barmah-Shepparton Road, Nathalia VIC 3638, Australia"
Barmah-Shepparton Road,ZEERUST,-36.2810888,145.3709394,"Barmah-Shepparton Road, City of Greater Shepparton VIC 3634, Australia"
Barnes Boulevard,HORSHAM,-36.7257158,142.1716184,"Barnes Boulevard, Horsham VIC 3400, Australia"
Barrabool Road,HIGHTON,-38.1691851,144.3098909,"Barrabool Road, Highton VIC 3216, Australia"
Barrands Lane,DRYSDALE,-38.1701199,144.566929,"Barrands Lane, Drysdale VIC 3222, Australia"
Barries Road,MELTON,-37.6898726,144.5848567,"Barries Road, Melbourne VIC 3337, Australia"
Barry Road,COOLAROO,-37.6648178,144.9312007,"Barry Road, Coolaroo VIC 3048, Australia"
Barry Road,DALLAS,-37.6651389,144.9337741,"Barry Road, Dallas VIC 3047, Australia"
Barry Road,CAMPBELLFIELD,-37.6685171,144.9688861,"Barry Road, Campbellfield VIC 3061, Australia"
Barrymore Road,GREENVALE,-37.6523497,144.9012048,"Barrymore Road, Greenvale VIC 3059, Australia"
Barwon Heads Road,CONNEWARRE,-38.2593979,144.4245254,"Barwon Heads Road, Connewarre VIC 3227, Australia"
Bass Highway,INVERLOCH,-38.627448,145.716105,"Bass Highway, Inverloch VIC, Australia"
Bass Highway,LANG LANG,-38.2924962,145.545421,"Bass Highway, Melbourne VIC 3984, Australia"
Bass Highway,LANG LANG SOUTH,-38.560913,145.842128,"Bass Highway, Leongatha South VIC, Australia"
Bass Highway,DALYSTON,-38.5633638,145.5451972,"Bass Highway, Dalyston VIC 3992, Australia"
Bass Highway,LEONGATHA SOUTH,-38.484796,145.9371951,"Bass Highway, Leongatha VIC 3953, Australia"
Bass Highway,THE GURDIES,-38.3651159,145.5626714,"Bass Highway, The Gurdies VIC 3984, Australia"
Bass Highway,WONTHAGGI,-38.6078614,145.6102551,"Bass Highway, Wonthaggi VIC 3995, Australia"
Batesford Road,CHADSTONE,-37.8756769,145.0941209,"Batesford Road, Chadstone VIC 3148, Australia"
Batesford Road,MALVERN EAST,-37.8760994,145.0888798,"Batesford Road, Malvern East VIC 3145, Australia"
